call_id,rep_id,stage,objection_type,deal_size,used_recommended_play,won,transcript_snippet
0,17,closing,already_using_competitor,15137.0,0,0,[Prospect]: objection raised re: already using competitor. [Rep]: improvised response.
1,16,negotiation,price_too_high,10552.0,0,0,[Prospect]: objection raised re: price too high. [Rep]: improvised response.
2,18,negotiation,not_a_priority_now,16969.0,1,1,[Prospect]: objection raised re: not a priority now. [Rep]: used recommended battlecard play.
3,18,discovery,security_compliance_concern,1000.0,0,0,[Prospect]: objection raised re: security compliance concern. [Rep]: improvised response.
4,17,discovery,no_budget,14851.0,1,1,[Prospect]: objection raised re: no budget. [Rep]: used recommended battlecard play.
5,8,closing,price_too_high,164699.0,0,0,[Prospect]: objection raised re: price too high. [Rep]: improvised response.
6,23,negotiation,implementation_time_concern,13195.0,0,1,[Prospect]: objection raised re: implementation time concern. [Rep]: improvised response.
7,0,demo,not_a_priority_now,4078.0,1,0,[Prospect]: objection raised re: not a priority now. [Rep]: used recommended battlecard play.
8,17,negotiation,price_too_high,4677.0,1,0,[Prospect]: objection raised re: price too high. [Rep]: used recommended battlecard play.
9,16,demo,no_budget,9780.0,1,1,[Prospect]: objection raised re: no budget. [Rep]: used recommended battlecard play.
10,10,negotiation,implementation_time_concern,2475.0,0,0,[Prospect]: objection raised re: implementation time concern. [Rep]: improvised response.
11,13,closing,implementation_time_concern,14595.0,1,0,[Prospect]: objection raised re: implementation time concern. [Rep]: used recommended battlecard play.
12,20,negotiation,security_compliance_concern,1000.0,1,1,[Prospect]: objection raised re: security compliance concern. [Rep]: used recommended battlecard play.
13,5,closing,need_more_features,17174.0,1,1,[Prospect]: objection raised re: need more features. [Rep]: used recommended battlecard play.
14,12,closing,not_a_priority_now,2340.0,1,1,[Prospect]: objection raised re: not a priority now. [Rep]: used recommended battlecard play.
15,18,closing,price_too_high,3835.0,0,1,[Prospect]: objection raised re: price too high. [Rep]: improvised response.
16,10,discovery,already_using_competitor,2346.0,1,0,[Prospect]: objection raised re: already using competitor. [Rep]: used recommended battlecard play.
17,19,negotiation,no_budget,12976.0,0,0,[Prospect]: objection raised re: no budget. [Rep]: improvised response.
18,20,demo,price_too_high,2384.0,1,0,[Prospect]: objection raised re: price too high. [Rep]: used recommended battlecard play.
19,24,demo,need_stakeholder_buyin,13294.0,0,1,[Prospect]: objection raised re: need stakeholder buyin. [Rep]: improvised response.
20,18,closing,security_compliance_concern,20419.0,1,0,[Prospect]: objection raised re: security compliance concern. [Rep]: used recommended battlecard play.
21,2,negotiation,implementation_time_concern,13577.0,1,0,[Prospect]: objection raised re: implementation time concern. [Rep]: used recommended battlecard play.
22,17,demo,security_compliance_concern,5369.0,1,0,[Prospect]: objection raised re: security compliance concern. [Rep]: used recommended battlecard play.
23,13,closing,security_compliance_concern,16436.0,0,0,[Prospect]: objection raised re: security compliance concern. [Rep]: improvised response.
24,6,demo,already_using_competitor,6726.0,1,0,[Prospect]: objection raised re: already using competitor. [Rep]: used recommended battlecard play.
25,7,discovery,need_more_features,4875.0,0,1,[Prospect]: objection raised re: need more features. [Rep]: improvised response.
26,18,demo,implementation_time_concern,1117.0,1,0,[Prospect]: objection raised re: implementation time concern. [Rep]: used recommended battlecard play.
27,16,discovery,price_too_high,6010.0,0,0,[Prospect]: objection raised re: price too high. [Rep]: improvised response.
28,24,closing,security_compliance_concern,4867.0,1,1,[Prospect]: objection raised re: security compliance concern. [Rep]: used recommended battlecard play.
29,10,demo,price_too_high,1326.0,1,1,[Prospect]: objection raised re: price too high. [Rep]: used recommended battlecard play.
30,16,closing,already_using_competitor,4135.0,1,1,[Prospect]: objection raised re: already using competitor. [Rep]: used recommended battlecard play.
31,7,discovery,security_compliance_concern,6963.0,0,0,[Prospect]: objection raised re: security compliance concern. [Rep]: improvised response.
32,17,discovery,implementation_time_concern,6277.0,1,0,[Prospect]: objection raised re: implementation time concern. [Rep]: used recommended battlecard play.
33,22,demo,price_too_high,3475.0,1,1,[Prospect]: objection raised re: price too high. [Rep]: used recommended battlecard play.
34,23,closing,need_stakeholder_buyin,6830.0,1,1,[Prospect]: objection raised re: need stakeholder buyin. [Rep]: used recommended battlecard play.
35,24,closing,price_too_high,12206.0,1,0,[Prospect]: objection raised re: price too high. [Rep]: used recommended battlecard play.
36,23,demo,already_using_competitor,4029.0,0,0,[Prospect]: objection raised re: already using competitor. [Rep]: improvised response.
37,1,closing,need_stakeholder_buyin,41265.0,1,0,[Prospect]: objection raised re: need stakeholder buyin. [Rep]: used recommended battlecard play.
38,11,closing,security_compliance_concern,6911.0,1,0,[Prospect]: objection raised re: security compliance concern. [Rep]: used recommended battlecard play.
39,0,negotiation,not_a_priority_now,15556.0,1,1,[Prospect]: objection raised re: not a priority now. [Rep]: used recommended battlecard play.
40,13,discovery,price_too_high,1976.0,1,1,[Prospect]: objection raised re: price too high. [Rep]: used recommended battlecard play.
41,13,closing,security_compliance_concern,34420.0,1,1,[Prospect]: objection raised re: security compliance concern. [Rep]: used recommended battlecard play.
42,18,discovery,not_a_priority_now,3630.0,0,1,[Prospect]: objection raised re: not a priority now. [Rep]: improvised response.
43,17,negotiation,no_budget,7611.0,1,0,[Prospect]: objection raised re: no budget. [Rep]: used recommended battlecard play.
44,9,discovery,not_a_priority_now,4482.0,0,0,[Prospect]: objection raised re: not a priority now. [Rep]: improvised response.
45,4,negotiation,price_too_high,3684.0,1,1,[Prospect]: objection raised re: price too high. [Rep]: used recommended battlecard play.
46,9,demo,need_more_features,15514.0,0,0,[Prospect]: objection raised re: need more features. [Rep]: improvised response.
47,13,negotiation,security_compliance_concern,2503.0,0,1,[Prospect]: objection raised re: security compliance concern. [Rep]: improvised response.
48,0,demo,need_more_features,5227.0,0,0,[Prospect]: objection raised re: need more features. [Rep]: improvised response.
49,23,demo,not_a_priority_now,22102.0,1,0,[Prospect]: objection raised re: not a priority now. [Rep]: used recommended battlecard play.
50,8,negotiation,need_more_features,4003.0,0,0,[Prospect]: objection raised re: need more features. [Rep]: improvised response.
51,3,demo,security_compliance_concern,2513.0,0,1,[Prospect]: objection raised re: security compliance concern. [Rep]: improvised response.
52,1,closing,need_more_features,1000.0,0,0,[Prospect]: objection raised re: need more features. [Rep]: improvised response.
53,24,discovery,no_budget,23486.0,0,0,[Prospect]: objection raised re: no budget. [Rep]: improvised response.
54,7,closing,not_a_priority_now,16292.0,0,0,[Prospect]: objection raised re: not a priority now. [Rep]: improvised response.
55,12,demo,price_too_high,84790.0,0,0,[Prospect]: objection raised re: price too high. [Rep]: improvised response.
56,1,closing,need_stakeholder_buyin,5589.0,1,1,[Prospect]: objection raised re: need stakeholder buyin. [Rep]: used recommended battlecard play.
57,21,closing,need_more_features,8572.0,1,1,[Prospect]: objection raised re: need more features. [Rep]: used recommended battlecard play.
58,15,closing,security_compliance_concern,21132.0,0,0,[Prospect]: objection raised re: security compliance concern. [Rep]: improvised response.
59,14,negotiation,implementation_time_concern,6983.0,0,0,[Prospect]: objection raised re: implementation time concern. [Rep]: improvised response.
60,13,closing,security_compliance_concern,1093.0,0,0,[Prospect]: objection raised re: security compliance concern. [Rep]: improvised response.
61,2,discovery,need_more_features,4964.0,1,0,[Prospect]: objection raised re: need more features. [Rep]: used recommended battlecard play.
62,16,demo,implementation_time_concern,3395.0,0,0,[Prospect]: objection raised re: implementation time concern. [Rep]: improvised response.
63,4,closing,implementation_time_concern,75595.0,1,1,[Prospect]: objection raised re: implementation time concern. [Rep]: used recommended battlecard play.
64,23,discovery,implementation_time_concern,4729.0,1,0,[Prospect]: objection raised re: implementation time concern. [Rep]: used recommended battlecard play.
65,10,demo,no_budget,9100.0,1,1,[Prospect]: objection raised re: no budget. [Rep]: used recommended battlecard play.
66,10,negotiation,implementation_time_concern,62195.0,1,1,[Prospect]: objection raised re: implementation time concern. [Rep]: used recommended battlecard play.
67,17,closing,need_more_features,7987.0,0,0,[Prospect]: objection raised re: need more features. [Rep]: improvised response.
68,12,closing,no_budget,3492.0,0,0,[Prospect]: objection raised re: no budget. [Rep]: improvised response.
69,20,demo,need_stakeholder_buyin,27005.0,0,0,[Prospect]: objection raised re: need stakeholder buyin. [Rep]: improvised response.
70,9,closing,not_a_priority_now,3478.0,0,0,[Prospect]: objection raised re: not a priority now. [Rep]: improvised response.
71,1,demo,not_a_priority_now,4199.0,1,0,[Prospect]: objection raised re: not a priority now. [Rep]: used recommended battlecard play.
72,10,demo,price_too_high,6358.0,0,0,[Prospect]: objection raised re: price too high. [Rep]: improvised response.
73,3,discovery,not_a_priority_now,2058.0,0,0,[Prospect]: objection raised re: not a priority now. [Rep]: improvised response.
74,8,demo,price_too_high,9102.0,1,1,[Prospect]: objection raised re: price too high. [Rep]: used recommended battlecard play.
75,14,discovery,implementation_time_concern,36810.0,1,1,[Prospect]: objection raised re: implementation time concern. [Rep]: used recommended battlecard play.
76,22,negotiation,no_budget,2896.0,0,0,[Prospect]: objection raised re: no budget. [Rep]: improvised response.
77,1,demo,implementation_time_concern,22972.0,1,1,[Prospect]: objection raised re: implementation time concern. [Rep]: used recommended battlecard play.
78,3,closing,implementation_time_concern,5330.0,0,0,[Prospect]: objection raised re: implementation time concern. [Rep]: improvised response.
79,8,closing,need_stakeholder_buyin,5889.0,0,0,[Prospect]: objection raised re: need stakeholder buyin. [Rep]: improvised response.
80,15,closing,no_budget,11525.0,0,0,[Prospect]: objection raised re: no budget. [Rep]: improvised response.
81,23,discovery,need_stakeholder_buyin,4384.0,0,0,[Prospect]: objection raised re: need stakeholder buyin. [Rep]: improvised response.
82,10,closing,price_too_high,19967.0,1,0,[Prospect]: objection raised re: price too high. [Rep]: used recommended battlecard play.
83,23,demo,not_a_priority_now,9199.0,1,1,[Prospect]: objection raised re: not a priority now. [Rep]: used recommended battlecard play.
84,13,discovery,not_a_priority_now,8444.0,0,0,[Prospect]: objection raised re: not a priority now. [Rep]: improvised response.
85,0,demo,price_too_high,1000.0,1,1,[Prospect]: objection raised re: price too high. [Rep]: used recommended battlecard play.
86,22,discovery,implementation_time_concern,5048.0,1,0,[Prospect]: objection raised re: implementation time concern. [Rep]: used recommended battlecard play.
87,11,closing,need_stakeholder_buyin,18656.0,1,1,[Prospect]: objection raised re: need stakeholder buyin. [Rep]: used recommended battlecard play.
88,18,discovery,security_compliance_concern,4563.0,0,0,[Prospect]: objection raised re: security compliance concern. [Rep]: improvised response.
89,24,negotiation,security_compliance_concern,4215.0,0,0,[Prospect]: objection raised re: security compliance concern. [Rep]: improvised response.
90,21,negotiation,implementation_time_concern,26146.0,0,1,[Prospect]: objection raised re: implementation time concern. [Rep]: improvised response.
91,22,closing,security_compliance_concern,26325.0,1,0,[Prospect]: objection raised re: security compliance concern. [Rep]: used recommended battlecard play.
92,7,demo,no_budget,13269.0,0,0,[Prospect]: objection raised re: no budget. [Rep]: improvised response.
93,22,discovery,need_stakeholder_buyin,11009.0,1,1,[Prospect]: objection raised re: need stakeholder buyin. [Rep]: used recommended battlecard play.
94,20,negotiation,not_a_priority_now,5921.0,1,1,[Prospect]: objection raised re: not a priority now. [Rep]: used recommended battlecard play.
95,2,closing,price_too_high,45499.0,0,1,[Prospect]: objection raised re: price too high. [Rep]: improvised response.
96,19,closing,implementation_time_concern,4676.0,0,0,[Prospect]: objection raised re: implementation time concern. [Rep]: improvised response.
97,1,negotiation,not_a_priority_now,11031.0,0,0,[Prospect]: objection raised re: not a priority now. [Rep]: improvised response.
98,0,demo,need_more_features,1729.0,1,1,[Prospect]: objection raised re: need more features. [Rep]: used recommended battlecard play.
99,13,negotiation,implementation_time_concern,14662.0,1,1,[Prospect]: objection raised re: implementation time concern. [Rep]: used recommended battlecard play.
100,19,negotiation,already_using_competitor,5942.0,1,1,[Prospect]: objection raised re: already using competitor. [Rep]: used recommended battlecard play.
101,9,discovery,security_compliance_concern,2132.0,0,0,[Prospect]: objection raised re: security compliance concern. [Rep]: improvised response.
102,10,discovery,need_more_features,72692.0,1,1,[Prospect]: objection raised re: need more features. [Rep]: used recommended battlecard play.
