doc_id,objection_type,doc_type,title,content
0,price_too_high,battlecard,ROI Reframe Battlecard,Reframe cost as ROI: quantify hours saved per week times fully-loaded hourly rate. Most customers break even within 4-6 months once the automation offsets are counted.
1,price_too_high,case_study,Mid-Market Manufacturer Case Study,"A 200-employee manufacturer initially balked at price, but after a 2-week pilot showing 11 hours/week saved per team, they signed a 3-year contract at list price."
2,no_budget,battlecard,Budget-Cycle Timing Battlecard,"Ask which fiscal quarter budget resets, and offer a start-now-pay-later contract structure tied to their next budget cycle. Anchor to the cost of inaction over that gap."
3,no_budget,case_study,Series B Startup Case Study,A cash-constrained Series B startup deferred payment 60 days by aligning the contract start date to their upcoming funding close.
4,need_more_features,battlecard,Roadmap Alignment Battlecard,Share the public roadmap and offer a signed feature-commitment letter for anything landing within 2 quarters; loop in product management for a live Q&A if the deal is large enough.
5,need_more_features,case_study,Healthcare SaaS Case Study,"A healthcare buyer needed HL7 export, which shipped 6 weeks after signing per a committed roadmap letter — deal closed on the strength of the written commitment."
6,already_using_competitor,battlecard,Competitive Displacement Battlecard,"Lead with the specific 3 capabilities competitors structurally lack (real-time sync, audit trail, native SSO) rather than an all-out feature comparison; offer a parallel-run pilot."
7,already_using_competitor,case_study,Retail Chain Displacement Case Study,A retail chain ran us in parallel with their incumbent for 30 days; the audit-trail gap alone drove the switch after a compliance near-miss.
8,not_a_priority_now,battlecard,Cost-of-Inaction Battlecard,"Quantify the compounding cost of delay (e.g., manual-process hours accumulating monthly) rather than pushing urgency artificially; offer a low-commitment pilot to keep momentum."
9,not_a_priority_now,case_study,Logistics Company Case Study,A logistics company deprioritized us for 2 quarters; a quarterly check-in with updated cost-of-inaction math eventually reopened the deal.
10,need_stakeholder_buyin,battlecard,Multi-Threading Battlecard,Offer to co-present a short business-case deck directly to the additional stakeholder rather than relying on your champion to relay it secondhand.
11,need_stakeholder_buyin,case_study,Enterprise IT Case Study,Co-presenting directly to the CFO (rather than routing through the IT champion) cut the buy-in cycle from 6 weeks to 10 days.
12,security_compliance_concern,battlecard,Security & Compliance Battlecard,Lead with the SOC 2 Type II report and a pre-filled security questionnaire; offer a direct call between their security team and ours.
13,security_compliance_concern,case_study,Financial Services Case Study,A bank's security review was the long pole; providing a pre-filled CAIQ questionnaire cut their review time from 8 weeks to 3.
14,implementation_time_concern,battlecard,Fast-Start Implementation Battlecard,"Offer the white-glove fast-start package: dedicated implementation manager, 2-week go-live target, with the customer's data migrated in the first week."
15,implementation_time_concern,case_study,Multi-Site Retailer Case Study,A 40-location retailer worried about a slow rollout went live at all sites in 12 days using the fast-start package.
16,implementation_time_concern,case_study,Multi-Site Retailer Case Study (variant 16),Recommended play: A 40-location retailer worried about a slow rollout went live at all sites in 12 days using the fast-start package.
17,security_compliance_concern,battlecard,Security & Compliance Battlecard (variant 17),Recommended play: Lead with the SOC 2 Type II report and a pre-filled security questionnaire; offer a direct call between their security team and ours.
18,no_budget,battlecard,Budget-Cycle Timing Battlecard (variant 18),"Recommended play: Ask which fiscal quarter budget resets, and offer a start-now-pay-later contract structure tied to their next budget cycle. Anchor to the cost of inaction over that gap."
19,implementation_time_concern,case_study,Multi-Site Retailer Case Study (variant 19),What works: A 40-location retailer worried about a slow rollout went live at all sites in 12 days using the fast-start package.
